country,crs
Benin,32631
Burkina Faso,32630
Botswana,32735
Burundi,32736
Cameroon,32632
Chad,32633
Congo (Kinshasa),32635
Cote D'ivoire,32629
Eritrea,32637
Ethiopia,32637
Gabon,32732
Ghana,32630
Guinea,32628
Kenya,32637
Liberia,32629
Madagascar,32739
Malawi,32736
Mali,32629
Mauritania,32629
Namibia,32732
Niger,32732
Nigeria,32632
Rwanda,32735
Senegal,32628
Sierra Leone,32629
South Africa,32734
South Sudan,20135
Swaziland,32736
Tanzania (Mainland),32737
The Gambia,32628
Togo,25231
Uganda,32736
Zambia,32734
